vg	-I(Vds)
Step Information: VÂ§tj=25 Vds=1  (Run: 1/6)
1.240000000000001e+000	2.633139e-004
1.260000000000001e+000	2.809182e-004
1.280000000000001e+000	2.996894e-004
1.300000000000001e+000	3.197039e-004
1.320000000000001e+000	3.410430e-004
1.340000000000001e+000	3.637932e-004
1.360000000000001e+000	3.880465e-004
1.380000000000001e+000	4.139009e-004
1.400000000000001e+000	4.414604e-004
1.420000000000001e+000	4.708358e-004
1.440000000000001e+000	5.021449e-004
1.460000000000001e+000	5.355130e-004
1.480000000000001e+000	5.710732e-004
1.500000000000001e+000	6.089672e-004
1.520000000000001e+000	6.493452e-004
1.540000000000001e+000	6.923674e-004
1.560000000000001e+000	7.382037e-004
1.580000000000001e+000	7.870345e-004
1.600000000000001e+000	8.390517e-004
1.620000000000001e+000	8.944591e-004
1.640000000000001e+000	9.534729e-004
1.660000000000001e+000	1.016323e-003
1.680000000000001e+000	1.083253e-003
1.700000000000001e+000	1.154522e-003
1.720000000000001e+000	1.230404e-003
1.740000000000001e+000	1.311192e-003
1.760000000000001e+000	1.397194e-003
1.780000000000001e+000	1.488738e-003
1.800000000000001e+000	1.586172e-003
1.820000000000001e+000	1.689865e-003
1.840000000000001e+000	1.800207e-003
1.860000000000001e+000	1.917614e-003
1.880000000000001e+000	2.042523e-003
1.900000000000001e+000	2.175399e-003
1.920000000000001e+000	2.316736e-003
1.940000000000001e+000	2.467054e-003
1.960000000000001e+000	2.626905e-003
1.980000000000001e+000	2.796874e-003
2.000000000000001e+000	2.977578e-003
2.020000000000001e+000	3.169670e-003
2.040000000000001e+000	3.373843e-003
2.060000000000001e+000	3.590826e-003
2.080000000000001e+000	3.821393e-003
2.100000000000001e+000	4.066358e-003
2.120000000000001e+000	4.326585e-003
2.140000000000002e+000	4.602983e-003
2.160000000000002e+000	4.896512e-003
2.180000000000002e+000	5.208188e-003
2.200000000000002e+000	5.539079e-003
2.220000000000002e+000	5.890314e-003
2.240000000000002e+000	6.263081e-003
2.260000000000002e+000	6.658635e-003
2.280000000000002e+000	7.078296e-003
2.300000000000002e+000	7.523454e-003
2.320000000000002e+000	7.995574e-003
2.340000000000002e+000	8.496196e-003
2.360000000000002e+000	9.026941e-003
2.380000000000002e+000	9.589514e-003
2.400000000000002e+000	1.018571e-002
2.420000000000002e+000	1.081740e-002
2.440000000000002e+000	1.148657e-002
2.460000000000002e+000	1.219529e-002
2.480000000000002e+000	1.294575e-002
2.500000000000002e+000	1.374022e-002
2.520000000000002e+000	1.458110e-002
2.540000000000002e+000	1.547090e-002
2.560000000000002e+000	1.641225e-002
2.580000000000002e+000	1.740791e-002
2.600000000000002e+000	1.846074e-002
2.620000000000002e+000	1.957376e-002
2.640000000000002e+000	2.075013e-002
2.660000000000002e+000	2.199313e-002
2.680000000000002e+000	2.330619e-002
2.700000000000002e+000	2.469291e-002
2.720000000000002e+000	2.615702e-002
2.740000000000002e+000	2.770243e-002
2.760000000000002e+000	2.933319e-002
2.780000000000002e+000	3.105354e-002
2.800000000000002e+000	3.286789e-002
2.820000000000002e+000	3.478081e-002
2.840000000000002e+000	3.679707e-002
2.860000000000002e+000	3.892162e-002
2.880000000000002e+000	4.115960e-002
2.900000000000002e+000	4.351634e-002
2.920000000000002e+000	4.599736e-002
2.940000000000002e+000	4.860840e-002
2.960000000000002e+000	5.135540e-002
2.980000000000002e+000	5.424450e-002
3.000000000000002e+000	5.728203e-002
3.020000000000002e+000	6.047459e-002
3.040000000000002e+000	6.382895e-002
3.060000000000002e+000	6.735211e-002
3.080000000000002e+000	7.105129e-002
3.100000000000002e+000	7.493394e-002
3.120000000000002e+000	7.900771e-002
3.140000000000002e+000	8.328053e-002
3.160000000000002e+000	8.776047e-002
3.180000000000002e+000	9.245591e-002
3.200000000000002e+000	9.737540e-002
3.220000000000002e+000	1.025277e-001
3.240000000000002e+000	1.079220e-001
3.260000000000003e+000	1.135673e-001
3.280000000000003e+000	1.194732e-001
3.300000000000003e+000	1.256493e-001
